depth,rop,wob,temp_out,rpm,gpm
540.13,118.18,9.27,111.21,74.79,901.43
541.14,121.98,10.94,111.21,67.92,901.63
542.18,59.25,6.72,111.18,50.56,903.89
543.22,120.4,6.98,111.14,86.96,905.33
544.24,122.13,7.73,111.18,85.92,906.97
545.25,118.18,7.6,111.18,88.06,907.59
546.29,120.4,7.42,111.18,78.2,902.67
547.31,122.12,5.09,111.18,73.78,906.97
548.35,103.69,10.89,111.14,55.17,909.43
549.36,99.03,6.41,111.14,90.5,914.55
550.38,122.11,6.63,111.1,82.23,917.21
551.42,120.41,11.77,111.18,79.3,917.21
552.44,93.95,8.87,111.25,80.86,920.69
553.45,77.97,5.4,111.29,90.1,917.83
554.49,120.4,7.42,111.33,83.76,912.71
555.53,120.41,5.05,111.33,88.76,914.15
556.54,122.11,3.86,111.33,88.06,923.77
557.56,120.41,7.55,111.37,87.51,922.74
558.6,120.42,4.08,111.37,90.81,761.19
559.62,122.14,3.78,111.41,94.5,913.74
560.65,120.42,6.76,111.41,82.54,927.04
561.67,118.18,10.94,111.48,81.8,870.53
562.69,120.41,11.86,111.52,83.06,834.9
563.71,109.79,12.96,110.22,24.57,801.95
564.72,101.79,11.07,110.03,75.18,806.25
565.74,118.18,5.45,109.84,85.89,840.84
566.76,116.59,8.43,109.84,80.34,832.24
567.78,114.49,10.76,109.84,77.56,823.21
568.81,113.12,12.82,109.88,69.66,821.16
569.87,97.5,2.15,110.07,87.85,826.07
570.89,118.2,5.49,110.15,85.34,813.4
571.93,116.65,6.32,110.19,81.68,863.19
572.94,122.12,5.8,110.22,87.02,861.14
573.96,118.18,10.85,110.3,78.36,863.81
575,109.79,10.1,110.38,74.76,861.76
576.02,122.64,7.82,110.41,67.53,871.34
577.05,113.11,6.85,110.41,80.4,863.76
578.09,124.42,6.59,110.41,79.55,870.1
579.11,122.12,4.48,110.45,71.28,869.49
580.14,120.4,2.37,110.49,88.55,870.3
581.18,120.4,6.59,110.57,78.27,865.8
582.2,118.18,7.03,110.57,78.78,868.47
583.23,120.4,9.4,110.6,72.8,869.08
584.25,118.18,9.71,110.64,72.29,869.49
585.27,114.49,9.31,110.64,72.53,869.7
586.29,116.65,10.23,110.68,75.28,866.63
587.31,118.18,11.46,110.64,74.97,802.13
588.32,71.86,4.83,110.68,70.12,870.1
589.38,99.28,8.39,110.68,87.85,868.87
590.42,128.71,7.82,110.64,82.42,872.55
591.45,138.27,11.59,110.64,84.15,868.26
592.47,107.77,6.46,110.68,85.68,868.87
593.51,120.41,9.27,110.64,82.48,867.23
594.56,143.58,3.52,109,70,865.37
595.58,122.15,2.02,108.28,96.27,884.45
596.6,118.19,8.7,108.09,63.19,886.09
597.62,120.41,7.03,108.36,90.32,883.84
598.64,126.32,0,108.66,113.2,886.92
599.67,116.65,4.83,108.81,85.13,887.94
600.71,119.51,0.4,109,96.14,889.78
601.73,118.18,10.1,109.04,77.17,889.58
602.74,118.18,4.88,109.04,92.85,885.68
603.76,122.11,1.19,108.97,97.52,883.43
604.78,65.44,11.6,108.74,64.81,884.66
